Tcrit_mean,Tcrit_std,elite_fracture_prob_mean,elite_fracture_prob_std,time_to_elite_fracture_mean,time_to_elite_fracture_std,weeks_below_elite_crit_mean,weeks_below_elite_crit_std,avg_loyal_mean,avg_loyal_std,peak_protest_mean,peak_protest_std,end_displaced_m_mean,end_displaced_m_std,mean_elite_mean,mean_elite_std,min_elite_mean,min_elite_std,mean_stab_mean,mean_stab_std,min_stab_mean,min_stab_std
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.029685719794183756,0.0,0.2869352751241379,0.0,0.6392255063286771,0.0,0.4337586253270535,6.206335383118183e-17,0.4024897694319264,6.206335383118183e-17,0.41894282041085934,0.0,0.3218848111469915,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.24307837566383403,3.1031676915590914e-17,0.24102415537093297,0.0,0.4249583969960267,0.0,0.5303934866676493,0.0,0.48116784790936407,6.206335383118183e-17,0.8097133889105999,1.2412670766236366e-16,0.6324232594007975,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.043906722285948684,0.0,0.2649731562327874,0.0,0.6026661347556909,0.0,0.49288850080667335,6.206335383118183e-17,0.46988783587679545,6.206335383118183e-17,0.6908237160279983,0.0,0.6250729837384151,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.03571803755287901,0.0,0.26711302421886457,0.0,0.618137340009488,0.0,0.4915460782681117,0.0,0.46906446509612865,0.0,0.6864415184267658,0.0,0.6212902626544874,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.03456078977602861,0.0,0.2673760682537763,0.0,0.6188299525674595,0.0,0.47588335396048453,0.0,0.45235699633570353,0.0,0.6788093119648065,0.0,0.619031662057787,0.0
39.0,0.0,1.0,0.0,72.0,0.0,84.0,0.0,0.011093472726634449,0.0,0.45342234848143975,6.206335383118183e-17,0.7340342555014528,0.0,0.3914927282552028,0.0,0.3386736515396621,0.0,0.1591228668291945,0.0,0.0,0.0
58.0,0.0,1.0,0.0,151.0,0.0,5.0,0.0,0.015970583667002654,0.0,0.23484019083133725,0.0,0.6876126422588769,0.0,0.4136100086398751,0.0,0.3489823289947935,0.0,0.2496795809606296,0.0,0.08373704253992609,0.0
58.0,0.0,1.0,0.0,151.0,0.0,5.0,0.0,0.016087582218666806,0.0,0.2348242966460484,3.1031676915590914e-17,0.6875877555710355,0.0,0.41370459246447855,6.206335383118183e-17,0.3490071076267798,0.0,0.2500881888324294,0.0,0.0838159917354169,0.0
58.0,0.0,1.0,0.0,151.0,0.0,5.0,0.0,0.015785781109021436,0.0,0.23486529973446774,3.1031676915590914e-17,0.6876519111146703,0.0,0.41346134438570015,6.206335383118183e-17,0.3489431792262327,0.0,0.24903722464641848,3.1031676915590914e-17,0.08361230312088086,0.0
59.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.015990710582154396,0.0,0.23397853310552613,3.1031676915590914e-17,0.6829288435319665,0.0,0.4154895240192797,6.206335383118183e-17,0.35156040524336934,0.0,0.25668844765477317,0.0,0.09337212620491847,0.0
